district_key,province,rank_remoteness_proxy,score_remoteness_proxy,rank_facility_distance,score_facility_distance,low_osm_facility_coverage,rank_change
BAHAWALNAGAR DISTRICT,Punjab,38,0.2988127007304946,26,0.26058766093544355,True,12
TORGHAR DISTRICT,Khyber Pakhtunkhwa,39,0.2984719195911211,47,0.21140126389129243,True,-8
DERA GHAZI KHAN DISTRICT,Punjab,40,0.2970897079941095,39,0.22445791607144003,False,1
CHAKWAL DISTRICT,Punjab,41,0.29664756634517797,54,0.19370110284428413,False,-13
PAKPATTAN DISTRICT,Punjab,42,0.29390040397746137,41,0.22083576417562525,False,1
KILLA ABDULLAH DISTRICT,Balochistan,43,0.2925132587229673,34,0.23950668977659398,True,9
SOHBATPUR DISTRICT,Balochistan,44,0.2917507379722547,51,0.19914116015587005,False,-7
JHAL MAGSI DISTRICT,Balochistan,45,0.2917161222650336,60,0.18796107187618966,True,-15
KACHHI DISTRICT,Balochistan,46,0.2848027650648136,49,0.20509900599460293,False,-3
HANGU DISTRICT,Khyber Pakhtunkhwa,47,0.28477464328963287,44,0.21569759337417113,True,3
KAMBAR SHAHDAD KOT DISTRICT,Sindh,48,0.28467091477255263,63,0.17911491766907636,False,-15
KHUZDAR DISTRICT,Balochistan,49,0.28422692499659724,38,0.22650795127066867,True,11
FR D.I.KHAN DISTRICT,Fata,50,0.28401294004883326,55,0.19302262121383812,True,-5
HAFIZABAD DISTRICT,Punjab,51,0.2835976637414449,57,0.18971593472290105,False,-6
MASTUNG DISTRICT,Balochistan,52,0.282627446530901,58,0.18934776643554196,True,-6
KOHISTAN DISTRICT,Khyber Pakhtunkhwa,53,0.27697992579964276,53,0.19599336787407995,False,0
FAISALABAD DISTRICT,Punjab,54,0.27680238614248714,43,0.21633836690100816,False,11
SARGODHA DISTRICT,Punjab,55,0.2766197992098091,59,0.18829819337136527,False,-4
SUKKUR DISTRICT,Sindh,56,0.27654311159004275,50,0.20074352274486226,False,6
NASIRABAD DISTRICT,Balochistan,57,0.27638190569972915,56,0.19288014328653974,True,1
KASUR DISTRICT,Punjab,58,0.27579412354214006,48,0.20917327513625766,False,10
LAHORE DISTRICT,Punjab,59,0.2734034966211586,36,0.23195491039556898,False,23
MUZAFFARGARH DISTRICT,Punjab,60,0.2702346246102182,62,0.18280467862897795,False,-2
LASBELA DISTRICT,Balochistan,61,0.26852560215127735,67,0.16435175472040095,False,-6
CHITRAL DISTRICT,Khyber Pakhtunkhwa,62,0.2676582701160954,97,0.11337451001424328,False,-35
KOHLU DISTRICT,Balochistan,63,0.266073690017099,45,0.21271720408886127,True,18
MIANWALI DISTRICT,Punjab,64,0.26341720817155495,70,0.16070078674887475,False,-6
FR BANNU DISTRICT,Fata,65,0.2588204330242615,88,0.12576896172469945,True,-23
SHIKARPUR DISTRICT,Sindh,66,0.2586459335269716,68,0.16299793825272782,False,-2
KASHMORE DISTRICT,Sindh,67,0.2583251986244294,52,0.19634050901331204,True,15
TANK DISTRICT,Khyber Pakhtunkhwa,68,0.2582310964229697,64,0.1729078005536914,True,4
