district_key,pct_draws_in_top20,prob_exceeds_national_median,posterior_mean_u5mr,posterior_rank_by_mean
LAKKI MARWAT DISTRICT,0.31666666666666665,0.18783333333333332,29.090578341456077,109.0
BATAGRAM DISTRICT,1.4833333333333334,0.20216666666666666,29.06902063975941,110.0
SWAT DISTRICT,0.6166666666666667,0.1835,29.00998840782963,111.0
FR BANNU DISTRICT,4.566666666666666,0.20783333333333334,28.433619912510558,112.0
KILLA SAIFULLAH DISTRICT,0.75,0.18633333333333332,28.337474405805988,113.0
NANKANA SAHIB DISTRICT,0.48333333333333334,0.1905,28.215193292636304,114.0
JHELUM DISTRICT,0.65,0.171,27.45108940426342,115.0
LARKANA DISTRICT,0.36666666666666664,0.16383333333333333,27.14307988881892,116.0
FR LAKKI MARWAT DISTRICT,3.7333333333333334,0.1895,26.87102108231527,117.0
ISLAMABAD DISTRICT,0.5166666666666667,0.16683333333333333,26.812506637936487,118.0
FR PESHAWAR DISTRICT,3.6,0.19233333333333333,26.738343303735544,119.0
FR KOHAT DISTRICT,3.8833333333333333,0.17866666666666667,26.39494983455549,120.0
SIALKOT DISTRICT,0.0,0.05466666666666667,24.67694811843326,121.0
MALAKAND PROTECTED AREA DISTRICT,0.43333333333333335,0.14033333333333334,24.434976304131176,122.0
KHUSHAB DISTRICT,0.15,0.101,24.04822032980835,123.0
FR TANK DISTRICT,1.8,0.14033333333333334,22.654955691019026,124.0
SANGHAR DISTRICT,0.08333333333333333,0.08516666666666667,22.354919676715674,125.0
KARACHI CENTRAL DISTRICT,0.016666666666666666,0.075,22.045052476651243,126.0
SOUTH WAZIRISTAN A DISTRICT,0.8333333333333334,0.10333333333333333,19.932523835452578,127.0
SHEIKHUPURA DISTRICT,0.03333333333333333,0.042333333333333334,19.923282833856852,128.0
MOHMAND AGENCY DISTRICT,0.6,0.09733333333333333,19.080413298355516,129.0
BAJAUR AGENCY DISTRICT,0.13333333333333333,0.06766666666666667,18.423873297887177,130.0
NORTH WAZIRISTAN AGENCY DISTRICT,0.31666666666666665,0.06233333333333333,17.042593198321164,131.0
KURRAM AGENCY DISTRICT,0.4666666666666667,0.06633333333333333,16.721244400329542,132.0
MANSEHRA DISTRICT,0.0,0.025166666666666667,16.6956866038292,133.0
KHYBER AGENCY DISTRICT,0.21666666666666667,0.05516666666666667,16.483111147796834,134.0
KORANGI DISTRICT,0.0,0.008166666666666666,14.106357201288485,135.0
