district_key,area_sqkm,population_2017,male,female,sex_ratio,pop_density_per_sqkm,urban_pct,avg_household_size,pop_growth_rate_pct,population_under5,literacy_rate_pct,mean_persons_per_room,improved_water_pct,improved_sanitation_pct,province,n_households_hr,mean_wealth_score,pct_lowest_wealth_quintile,n_women_ir,mean_years_education,pct_no_education,n_women_with_recent_birth,mean_anc_visits,pct_zero_anc_visits,low_dhs_hr_coverage,low_dhs_ir_coverage,low_dhs_anc_coverage,improved_water_pct_imputed,improved_sanitation_pct_imputed,wash_index,mean_persons_per_room_imputed,household_pressure_index,remoteness_proxy,population_under5_imputed,under5_share_pct,anc_deficit_index,anc_data_source,education_adequacy,education_data_source,wealth_adequacy,wealth_data_source,deprivation_index,deprivation_data_source,facility_count_in_district,facility_distance_km,low_osm_facility_coverage
TOBA TEK SINGH DISTRICT,3252,2191495,1100365,1090879,100.87,673.89,20.17,6.42,1.59,278080.0,67.32032503607635,2.668427086312331,87.93013208902924,36.45089463926122,Punjab,83.0,0.3726730739408473,1.9385367430846043,92.0,7.782512484758371,18.425311856403447,51.0,3.810927658043121,5.457121335261124,False,False,False,False,False,0.6174722004356192,False,0.2410674343219395,0.4599606346377114,False,12.689054732043653,0.534134381208436,dhs,0.7573265405493862,dhs,0.6423924971613058,dhs,0.3048836367204902,education=dhs;wealth=dhs,7,12.09,False
SAHIWAL DISTRICT,3201,2513011,1276646,1236119,103.28,785.07,20.52,6.35,1.64,315224.0,61.142661520892005,2.909184440138131,86.4848993931162,46.06240409729545,Punjab,106.0,-0.3563658275820176,29.81654495396921,107.0,3.3229473258168025,56.641212468851,49.0,3.019582347890109,5.999978359806954,False,False,False,False,False,0.6610599019364773,False,0.27509985607884,0.4430829097159516,False,12.543677683862107,0.6349416976899391,dhs,0.3233603810616702,dhs,0.4055274314953158,dhs,0.5242186352043511,education=dhs;wealth=dhs,8,22.54,False
OKARA DISTRICT,4377,3040826,1564470,1476071,105.99,694.73,27.71,6.16,1.64,408557.0,58.275454086838096,3.2972254923676854,90.30653682707928,31.673421169212595,Punjab,57.0,0.1658878808200203,6.622189842660564,58.0,2.848999451498259,50.61265334730025,33.0,3.595360203416685,1.596868703889342,False,False,False,False,False,0.6052973221087301,False,0.3226570174838863,0.4565947502727323,False,13.43572437225938,0.5615949301531659,dhs,0.2772398891560871,dhs,0.5752078952902588,dhs,0.5077427584091287,education=dhs;wealth=dhs,7,20.55,False
PAKPATTAN DISTRICT,2724,1824228,928110,895899,103.6,669.69,15.84,5.96,1.85,256381.0,52.69661762289915,3.302344739815449,85.54606493425399,32.2147253982391,Punjab,52.0,-0.3757420864095244,24.15436190209404,52.0,1.489225618131868,71.99948489010988,25.0,2.9946184668480007,9.333505036630036,False,False,True,False,False,0.5809688015576205,False,0.3046177426837108,0.4606515522258155,False,14.054219099805508,0.6381217782749012,dhs,0.1449185064188619,dhs,0.3992320763229764,dhs,0.6090078009475379,education=dhs;wealth=dhs,2,17.26,False
BAHAWALNAGAR DISTRICT,8878,2975656,1510427,1464900,103.11,335.17,20.83,6.16,1.95,407080.0,53.080773934421714,3.133978445665555,83.20709045078404,27.90270020077935,Punjab,79.0,0.0059098123460475,21.37379273352223,78.0,5.026012906118694,41.81956862911104,43.0,4.462496282445241,1.9055311135282564,False,False,False,False,False,0.5443142238203533,False,0.2950949236642602,0.5370946493041662,False,13.680344771035362,0.4511328347447034,dhs,0.4890879358564389,dhs,0.5232309491834709,dhs,0.4572513314807734,education=dhs;wealth=dhs,0,62.22,True
BAHAWALPUR DISTRICT,24830,3669176,1879702,1789148,105.06,147.77,31.95,6.24,2.18,516921.0,50.26759013905788,3.26553165990904,86.12656051496344,38.80614864127091,Punjab,159.0,-0.3341187657640532,23.298965486637822,156.0,2.959382216170879,61.2115544885843,74.0,3.6532305436779673,3.1962292091350624,False,False,False,False,False,0.6198565710765167,False,0.324867371847092,0.6273197761160938,False,14.088204000026163,0.5542229856546468,dhs,0.2879813813759211,dhs,0.4127555118451848,dhs,0.5501386545266326,education=dhs;wealth=dhs,25,55.39,False
RAHIM YAR KHAN DISTRICT,11880,4807762,2461780,2345413,104.96,404.69,21.44,6.77,2.26,695406.0,46.61812910202031,3.460895035513278,85.35168663049517,37.42921493381016,Punjab,130.0,-0.4486595539499203,24.0581051422295,146.0,2.3160570753220853,65.94944088011793,79.0,3.078911329860963,5.017806308424188,False,False,False,False,False,0.6079917042275464,False,0.4079463988431955,0.5162905453333047,False,14.464235126447608,0.6273839408101962,dhs,0.225378564570727,dhs,0.3755411584568989,dhs,0.5980487738441459,education=dhs;wealth=dhs,6,12.44,False
DERA GHAZI KHAN DISTRICT,11922,2872631,1451327,1421127,102.13,240.95,19.01,8.15,2.98,479059.0,46.67374906033259,3.3257262259703286,74.60156484926387,21.16614878450009,Punjab,55.0,-1.08946924732156,75.61582460844356,54.0,1.2470148042162987,82.65217026309023,36.0,1.8479886306671087,25.83632683154797,False,False,False,False,False,0.4587076757091722,False,0.5155597247372239,0.5734945600147296,False,16.676663309697627,0.7841878196098419,dhs,0.1213486530912158,dhs,0.1673418020400921,dhs,0.7429178543747961,education=dhs;wealth=dhs,9,37.89,False
RAJANPUR DISTRICT,12318,1996039,1028164,967668,106.25,162.04,16.9,7.44,3.16,332441.0,33.745354288816,4.203592696371524,79.99716955512291,15.450404103380087,Punjab,38.0,-1.50300590160332,97.30726502660733,32.0,0.416460882190385,93.5929095047633,20.0,1.7903191612317344,9.35929095047633,False,False,True,False,False,0.4587522875727636,False,0.5966680584578805,0.6171824718582903,False,16.655035297406513,0.7915341757227858,dhs,0.0405263569831821,dhs,0.0329835578268774,dhs,0.8236704589619523,education=dhs;wealth=dhs,3,29.86,False
LAYYAH DISTRICT,6289,1823995,924837,899016,102.87,290.03,17.61,6.42,2.59,267107.0,58.18541462241724,3.305105650705307,96.45473648341662,24.27128293957292,Punjab,82.0,-0.7117831381711124,39.44769599268757,84.0,3.492439673625106,49.017381012187045,52.0,2.623753540140983,10.376862190300097,False,False,False,False,False,0.6005506482722529,False,0.348562146656696,0.5530531509895353,False,14.644064265527044,0.6853652477929236,dhs,0.3398539046720267,dhs,0.2900521880814702,dhs,0.5762096692844034,education=dhs;wealth=dhs,7,3.59,False
