district_key,province,population_2017,population_under5,deprivation_index,mortality_estimate_per1000,mortality_lower95,mortality_upper95,estimate_type,estimate_source
OKARA DISTRICT,Punjab,3040826,408557.0,0.5077427584091287,76.14631225118025,49.49510296326716,102.79752153909334,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
PAKPATTAN DISTRICT,Punjab,1824228,256381.0,0.6090078009475379,88.13777991356234,57.289556943815526,118.98600288330915,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
BAHAWALNAGAR DISTRICT,Punjab,2975656,407080.0,0.4572513314807734,78.1180710194164,50.77674616262067,105.45939587621214,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
BAHAWALPUR DISTRICT,Punjab,3669176,516921.0,0.5501386545266326,86.86352236766277,56.4612895389808,117.26575519634474,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
RAHIM YAR KHAN DISTRICT,Punjab,4807762,695406.0,0.5980487738441459,91.49430296641947,59.471296928172656,123.51730900466629,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
DERA GHAZI KHAN DISTRICT,Punjab,2872631,479059.0,0.7429178543747961,96.04208312087587,62.42735402856932,129.65681221318243,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
RAJANPUR DISTRICT,Punjab,1996039,332441.0,0.8236704589619523,102.13339281195448,66.38670532777041,137.88008029613854,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
LAYYAH DISTRICT,Punjab,1823995,267107.0,0.5762096692844034,90.07745387203052,58.55034501681984,121.60456272724119,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
MUZAFFARGARH DISTRICT,Punjab,4328549,673900.0,0.5684940830604795,82.28652364125335,53.486240366814684,111.08680691569202,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
MULTAN DISTRICT,Punjab,4746166,626135.0,0.4085865988369187,61.320589892747805,39.858383430286075,82.78279635520954,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KHANEWAL DISTRICT,Punjab,2920233,388512.0,0.5558497774318966,74.80627401679511,48.62407811091683,100.9884699226734,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
LODHRAN DISTRICT,Punjab,1699693,239525.0,0.5752382626485436,77.90837277062283,50.640442300904844,105.17630324034081,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
VEHARI DISTRICT,Punjab,2902081,403151.0,0.5494249900983198,85.34721320823036,55.47568858534973,115.21873783111099,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
JACOBABAD DISTRICT,Sindh,1007009,173404.0,0.800683403400157,104.29198028460077,67.7897871849905,140.79417338421104,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KASHMORE DISTRICT,Sindh,1090336,177050.5,0.6147283539181596,92.21260648101197,59.938194212657784,124.48701874936617,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KAMBAR SHAHDAD KOT DISTRICT,Sindh,1338035,219914.0,0.7384291015898579,95.12655163035706,61.83225855973209,128.42084470098203,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
LARKANA DISTRICT,Sindh,1521786,221400.0,0.5967300159497156,87.06551724535507,56.5925862094808,117.53844828122934,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
SHIKARPUR DISTRICT,Sindh,1233760,206025.0,0.4387465054117199,76.81286362928167,49.92836135903308,103.69736589953024,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
GHOTKI DISTRICT,Sindh,1648708,270196.0,0.7029944931495881,92.91637143792495,60.39564143465122,125.43710144119868,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KHAIRPUR DISTRICT,Sindh,2405190,386275.0,0.6078722566143557,90.0406094179182,58.52639612164684,121.55482271418957,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
SUKKUR DISTRICT,Sindh,1488372,226757.0,0.6001549391221048,81.77746941643326,53.15535512068162,110.3995837121849,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
BADIN DISTRICT,Sindh,1804958,289324.0,0.7687450730310981,98.13996104130842,63.79097467685048,132.48894740576637,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
DADU DISTRICT,Sindh,1550390,232894.0,0.7309232207146357,94.79805207186297,61.61873384671093,127.977370297015,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
HYDERABAD DISTRICT,Sindh,2199928,267218.0,0.4340889998882393,64.03125139080245,41.620313404021594,86.4421893775833,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
JAMSHORO DISTRICT,Sindh,993908,140024.0,0.5554266366412944,85.78807297415956,55.76224743320372,115.8138985151154,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
MATIARI DISTRICT,Sindh,770040,109988.0,0.7198879332261567,93.26393440115237,60.621557360749044,125.90631144155569,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
SUJAWAL DISTRICT,Sindh,779062,121160.0,0.7723529381681936,101.0003557419523,65.650231232269,136.35048025163562,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
TANDO ALLAHYAR DISTRICT,Sindh,838527,126763.0,0.4660319346125232,78.14718771293224,50.795672013405955,105.49870341245853,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
TANDO MUHAMMAD KHAN DISTRICT,Sindh,677098,103215.0,0.6500581148332746,93.55674774813954,60.8118860362907,126.30160945998838,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
THATTA DISTRICT,Sindh,982138,148104.0,0.7732844631514619,105.5191940991968,68.58747616447792,142.45091203391567,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KARACHI CENTRAL DISTRICT,Sindh,2971382,310378.0,0.0653184391827099,40.147762026173844,26.096045317013,54.19947873533469,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KARACHI EAST DISTRICT,Sindh,2875315,323085.0,0.037862076838796,35.605243999704996,23.143408599808247,48.067079399601745,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KARACHI SOUTH DISTRICT,Sindh,1769230,174872.0,0.2065406638004931,52.27926857918598,33.98152457647089,70.57701258190107,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KARACHI WEST DISTRICT,Sindh,3907065,503331.0,0.3084021432625008,50.00570401670554,32.503707610858605,67.50770042255249,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KORANGI DISTRICT,Sindh,2577556,288465.0,0.1982594949215342,42.277088246161,27.480107360004652,57.07406913231735,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
MALIR DISTRICT,Sindh,1924346,251179.0,0.3905954612958043,59.471652836440995,38.65657434368665,80.28673132919533,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
MIRPUR KHAS DISTRICT,Sindh,1504440,226755.0,0.7908105198113271,95.7030117465803,62.2069576352772,129.1990658578834,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
THARPARKAR DISTRICT,Sindh,1647036,324617.0,0.8581487896297976,110.92650785055974,72.10223010286384,149.75078559825565,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
UMER KOT DISTRICT,Sindh,1073469,183438.0,0.640911984508718,83.5856570971002,54.33067711311513,112.84063708108526,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
SANGHAR DISTRICT,Sindh,2049873,306387.0,0.689837441280569,91.3300731316881,59.36454753559727,123.29559872777892,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
NAUSHAHRO FEROZE DISTRICT,Sindh,1612047,241029.0,0.6062425315433737,95.63076359643959,62.15999633768574,129.10153085519346,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
