district_key,province,population_2017,u5mr_direct,u5mr_simple_pooling,u5mr_hierarchical_hazard,u5mr_ci_lower95,u5mr_ci_upper95
JAFFARABAD DISTRICT,Balochistan,513972,0.0,106.43038458714186,40.48874713341058,8.761812497932194,106.95189132018147
JAMSHORO DISTRICT,Sindh,993908,28.53771963602969,59.229525512019926,32.015224529974674,8.424312055196264,76.51215940769512
JHAL MAGSI DISTRICT,Balochistan,148900,115.38461538461542,106.43038458714186,40.4870650493078,7.164854516503638,120.99106010428255
JHANG DISTRICT,Punjab,2742633,50.0821125336004,81.73327888055317,37.355467863967,16.35629203465048,67.8708150550646
JHELUM DISTRICT,Punjab,1222403,0.0,81.73327888055317,27.45108940426339,6.655008278795027,67.82295736141026
KACHHI DISTRICT,Balochistan,309932,0.0,106.43038458714186,39.525305046527976,7.235959199525685,120.4926925525802
KALAT DISTRICT,Balochistan,412058,65.40748781667783,106.43038458714186,51.20194893538632,11.221586407005937,132.73055588758072
KAMBAR SHAHDAD KOT DISTRICT,Sindh,1338035,78.20521093372878,59.229525512019926,66.65100918454083,29.166344411964587,121.58700898787876
KARACHI CENTRAL DISTRICT,Sindh,2971382,13.89864260335183,59.229525512019926,22.045052476651183,6.110789209999931,51.233539037685375
KARACHI EAST DISTRICT,Sindh,2875315,5.8375542854871565,59.229525512019926,30.2679316347362,6.601200000962288,77.68607206306955
KARACHI SOUTH DISTRICT,Sindh,1769230,80.73219515472552,59.229525512019926,67.12446723079623,32.17410572379872,116.63065803373644
KARACHI WEST DISTRICT,Sindh,3907065,45.01796644300104,59.229525512019926,38.62033664659272,17.090679402311515,68.97700401888194
KARAK DISTRICT,Khyber Pakhtunkhwa,705362,121.24849939975992,59.51705516141297,42.76743790632083,10.666774109635,107.90373094516298
KASHMORE DISTRICT,Sindh,1090336,81.02696193206616,59.229525512019926,64.26165589443576,29.27528072769702,114.50137300190592
KASUR DISTRICT,Punjab,3454881,79.58906185083481,81.73327888055317,74.90861228325362,40.94960751597122,120.49993496027795
KECH DISTRICT,Balochistan,907182,27.256605966362592,106.43038458714186,43.29478053654819,8.582770107447695,121.63705483731108
KHAIRPUR DISTRICT,Sindh,2405190,106.31891501112167,59.229525512019926,82.65646709308778,44.49490885007384,131.95000037396952
KHANEWAL DISTRICT,Punjab,2920233,102.95584594258844,81.73327888055317,101.70555430883157,61.62565546511482,150.68997633694642
KHARAN DISTRICT,Balochistan,162766,62.39334510815786,106.43038458714186,50.88335398710843,8.943867173334217,156.9815506510478
KHUSHAB DISTRICT,Punjab,1280372,0.0,81.73327888055317,24.04822032980846,6.140538176140304,57.7842511587788
KHUZDAR DISTRICT,Balochistan,798896,80.289556375437,106.43038458714186,43.58150470926948,12.98198893000427,98.2231910065729
KHYBER AGENCY DISTRICT,Fata,984246,18.64571846155927,19.15034704458557,16.483111147796834,1.767572253878258,52.908501229042535
KILLA ABDULLAH DISTRICT,Balochistan,758354,86.64606605284276,106.43038458714186,58.77067160700132,18.78936045152029,126.20061632864396
KILLA SAIFULLAH DISTRICT,Balochistan,342932,3.826439011997973,106.43038458714186,28.337474405805988,6.417818600182196,71.7963757153168
KOHAT DISTRICT,Khyber Pakhtunkhwa,992427,32.658722505703565,59.51705516141297,31.034223695538163,11.000315472041422,62.93137263263466
KOHLU DISTRICT,Balochistan,213933,21.276595744680883,106.43038458714186,34.458516110656824,6.005114676771076,97.96515912060936
KORANGI DISTRICT,Sindh,2577556,12.870103827521294,59.229525512019926,14.106357201288471,3.570201796360648,33.923133068784566
KURRAM AGENCY DISTRICT,Fata,615372,22.972882524168405,19.15034704458557,16.721244400329514,1.481229062109679,58.63231649111723
LAHORE DISTRICT,Punjab,11119985,100.66242215114151,81.73327888055317,75.18965166699336,50.669257701592265,104.72430505250732
LAKKI MARWAT DISTRICT,Khyber Pakhtunkhwa,875744,29.656009787543347,59.51705516141297,29.090578341456023,8.38840216744244,66.54706431965465
LARKANA DISTRICT,Sindh,1521786,47.77424360616389,59.229525512019926,27.14307988881888,7.014670881218943,63.7077280477353
LASBELA DISTRICT,Balochistan,576271,91.103324498626,106.43038458714186,41.92446067252753,11.377623760983212,96.88950893209002
LAYYAH DISTRICT,Punjab,1823995,98.43513547868842,81.73327888055317,85.84067391453816,40.98193912506908,147.15721621265718
LODHRAN DISTRICT,Punjab,1699693,27.77777777777779,81.73327888055317,32.99554907859789,8.590638628518207,77.39261847780514
LORALAI DISTRICT,Balochistan,397423,314.17083610779696,106.43038458714186,221.89709335239652,123.36158306428425,348.2703310587724
LOWER DIR DISTRICT,Khyber Pakhtunkhwa,1436082,94.49316774319917,59.51705516141297,51.97231636987564,15.84615700717251,117.35872230043562
MALAKAND PROTECTED AREA DISTRICT,Khyber Pakhtunkhwa,717806,1.2004921634326535,59.51705516141297,24.434976304131222,4.987534112953551,64.5298908795685
MALIR DISTRICT,Sindh,1924346,25.532991998517552,59.229525512019926,30.16592313640856,10.38943648711014,62.09036584063064
MANSEHRA DISTRICT,Khyber Pakhtunkhwa,1555742,3.955458781992216,59.51705516141297,16.695686603829227,4.037077017350057,40.83664591992854
MARDAN DISTRICT,Khyber Pakhtunkhwa,2373399,46.74219401930091,59.51705516141297,41.99652283299024,15.203591571793892,83.85278053376447
MASTUNG DISTRICT,Balochistan,265676,171.1180592918321,106.43038458714186,46.76984110478711,11.4307803549344,119.47174690793028
MATIARI DISTRICT,Sindh,770040,50.00000000000004,59.229525512019926,41.42257963896069,10.557203677601295,103.5823752719866
MIANWALI DISTRICT,Punjab,1542601,55.89270928165158,81.73327888055317,58.23196534685332,23.717750955936832,109.82518376512591
MIRPUR KHAS DISTRICT,Sindh,1504440,75.16792869546529,59.229525512019926,51.012551251212656,16.89120308150175,107.02030497517228
MOHMAND AGENCY DISTRICT,Fata,474345,10.6686175391979,19.15034704458557,19.080413298355587,1.720527168464836,65.0306123396701
MULTAN DISTRICT,Punjab,4746166,62.02495404418285,81.73327888055317,58.132281243178255,30.590061551296923,93.57960764257204
MUZAFFARGARH DISTRICT,Punjab,4328549,112.15752526470446,81.73327888055317,67.25205387066264,37.60527341079662,106.85394724610744
NANKANA SAHIB DISTRICT,Punjab,1354986,0.0,81.73327888055317,28.21519329263629,6.655182431420423,69.21890296907722
NAROWAL DISTRICT,Punjab,1707575,46.64947116934204,81.73327888055317,46.88558947840695,14.184593129444972,103.0060942139482
NASIRABAD DISTRICT,Balochistan,487847,104.06636878449484,106.43038458714186,48.22514307563523,11.599178645119787,121.51654325815392
NAUSHAHRO FEROZE DISTRICT,Sindh,1612047,35.2560259514233,59.229525512019926,38.02673311796857,14.474371959394102,74.93916948228467
NORTH WAZIRISTAN AGENCY DISTRICT,Fata,540546,10.846194608446712,19.15034704458557,17.042593198321153,1.742743269391092,53.19497277134751
NOWSHERA DISTRICT,Khyber Pakhtunkhwa,1520995,39.22195405184159,59.51705516141297,35.132876389794355,14.398045396732655,66.15631808843081
OKARA DISTRICT,Punjab,3040826,17.7089973228034,81.73327888055317,29.57773008876173,10.199018774570453,60.662540236162
ORAKZAI AGENCY DISTRICT,Fata,254303,0.0,19.15034704458557,29.680091715240145,2.097800639205938,116.95323150711197
PAKPATTAN DISTRICT,Punjab,1824228,89.3875035368361,81.73327888055317,67.41903460949277,22.95665290569776,138.75834717884723
PESHAWAR DISTRICT,Khyber Pakhtunkhwa,4267198,61.40736950969827,59.51705516141297,53.3263837690992,26.52342016391529,91.4514162863828
PISHIN DISTRICT,Balochistan,736903,124.09003715484944,106.43038458714186,50.763054885967584,9.034418083056147,142.0071921907701
QUETTA DISTRICT,Balochistan,2269473,145.92140324775093,106.43038458714186,43.943007254281525,15.373626277677996,89.20512380078054
RAHIM YAR KHAN DISTRICT,Punjab,4807762,119.51727768711284,81.73327888055317,113.47696629199469,80.39464273781755,153.31483478584647
RAJANPUR DISTRICT,Punjab,1996039,89.73207199297828,81.73327888055317,73.46245028038327,23.470699167520824,154.5872220625054
RAWALPINDI DISTRICT,Punjab,5402380,40.94708538703173,81.73327888055317,39.93625904091192,19.72656156910616,68.36435738439091
SAHIWAL DISTRICT,Punjab,2513011,197.5747536450546,81.73327888055317,116.30443351480412,75.04203061089864,166.4094289577345
SANGHAR DISTRICT,Sindh,2049873,21.644628944173405,59.229525512019926,22.354919676715653,5.09601885239587,54.21083663050721
SARGODHA DISTRICT,Punjab,3696212,75.53902199530593,81.73327888055317,76.0181444165191,44.27487224662775,114.56668555370972
SHAHEED BENAZIRABAD DISTRICT,Sindh,1613506,115.52087354933671,59.229525512019926,99.44925161614232,55.340603622820346,157.83643097117567
SHANGLA DISTRICT,Khyber Pakhtunkhwa,759609,109.89010989010984,59.51705516141297,45.68520201215873,13.243391287078635,103.77927276770453
SHEIKHUPURA DISTRICT,Punjab,3460004,0.0,81.73327888055317,19.923282833856824,5.257488737733204,45.00040909970984
SHERANI DISTRICT,Balochistan,152952,0.0,106.43038458714186,52.835671730549365,9.110228648729144,163.5861800970863
SHIKARPUR DISTRICT,Sindh,1233760,71.4285714285714,59.229525512019926,48.24783038624695,11.746883401539607,123.97235993457215
SIALKOT DISTRICT,Punjab,3894938,22.87007936134533,81.73327888055317,24.67694811843327,10.369564028531604,45.38446585673931
SIBI DISTRICT,Balochistan,179751,209.7959183673469,106.43038458714186,53.08518018546559,8.479528142301834,161.3557324527629
SOHBATPUR DISTRICT,Balochistan,200426,45.45454545454541,106.43038458714186,48.82042024543174,8.793939367121093,145.0705042739493
SOUTH WAZIRISTAN A DISTRICT,Fata,675215,29.893649124911214,19.15034704458557,19.93252383545251,1.9305021180180624,66.28243007421925
SUJAWAL DISTRICT,Sindh,779062,24.83362696261626,59.229525512019926,33.808901495488165,6.882845907962623,91.99977492437608
SUKKUR DISTRICT,Sindh,1488372,97.32877579103926,59.229525512019926,66.10487631587146,30.56272356323976,118.5275829303514
SWABI DISTRICT,Khyber Pakhtunkhwa,1625477,42.04249301093299,59.51705516141297,34.24275858640182,11.895417678000449,70.51115193967527
SWAT DISTRICT,Khyber Pakhtunkhwa,2308624,36.16881202806288,59.51705516141297,29.00998840782961,7.476383690226151,69.82728605114492
TANDO ALLAHYAR DISTRICT,Sindh,838527,33.72963763862336,59.229525512019926,34.919541237651515,7.266350074546918,95.3169550180682
TANDO MUHAMMAD KHAN DISTRICT,Sindh,677098,124.1039426523297,59.229525512019926,42.6094102260768,10.080257860910136,108.74280065587362
TANK DISTRICT,Khyber Pakhtunkhwa,390626,96.08895320197664,59.51705516141297,48.91624557240936,12.727943693359997,115.47902838274098
THARPARKAR DISTRICT,Sindh,1647036,30.360630466110266,59.229525512019926,34.95351250888215,10.785509754076312,77.06943259700002
THATTA DISTRICT,Sindh,982138,36.78454754031446,59.229525512019926,35.52998577426209,9.295972093316973,85.50813541752181
TOBA TEK SINGH DISTRICT,Punjab,2191495,114.06338543465644,81.73327888055317,109.56100994237204,64.21867085749882,165.27738346524524
TORGHAR DISTRICT,Khyber Pakhtunkhwa,171349,121.92192192192186,59.51705516141297,56.38141396493424,12.578527021370824,151.69068996060943
UMER KOT DISTRICT,Sindh,1073469,17.732617136429706,59.229525512019926,30.06338213075996,6.660665704905461,76.44998599500158
UPPER DIR DISTRICT,Khyber Pakhtunkhwa,947401,52.04200242676915,59.51705516141297,45.21361765872478,13.161344979555322,102.71135309849784
VEHARI DISTRICT,Punjab,2902081,136.8272198326449,81.73327888055317,98.24471242479136,54.50335327530061,155.7034633851568
WASHUK DISTRICT,Balochistan,175712,63.233431166814015,106.43038458714186,53.99589104882189,9.838673964609203,155.44689501840134
ZHOB DISTRICT,Balochistan,310354,454.8997122794961,106.43038458714186,247.62402128939576,117.88885746204332,420.2474000344176
